0.1 -15.3 1.04
1.33 0.32 0.594
2.55 2.45 0.983
3.78 2.75 0.998
5.0 2.27 1.11
6.22 1.35 0.398
7.45 0.157 0.535
8.68 -1.23 0.968
9.9 -2.75 0.478



The fit calculated is:
0.4 -6.213573814162088 -6.044024938070819 -6.383122690253359
0.41 -6.060920139957892 -5.8795169881481355 -6.242323291767648
0.42 -5.912426338082241 -5.719419811449401 -6.105432864715081
0.43 -5.7678966220751295 -5.5635258127391864 -5.972267431411074
0.44 -5.627148710456622 -5.411641716309143 -5.842655704604102
0.45 -5.4900126125282975 -5.2635872785456 -5.716437946510995
0.46 -5.356329547637256 -5.119194142009441 -5.59346495326507
0.47 -5.2259509806767355 -4.978304812763357 -5.473597148590114
0.48 -5.098737759136762 -4.840771745374083 -5.356703772899442
0.49 -4.974559339138632 -4.706456522265488 -5.242662156011778
0.5 -4.853293089664534 -4.5752291159831024 -5.131357063345966
0.51 -4.734823665689572 -4.446967224516881 -5.022680106862264
0.52 -4.619042442186823 -4.3215556711685075 -4.916529213205137
0.53 -4.505847002046954 -4.198885861585123 -4.8128081425087865
0.54 -4.395140671864607 -4.078855291546845 -4.71142605218237
0.55 -4.286832100320704 -3.961367099919406 -4.612297100722001
0.56 -4.1808348745547885 -3.846329661888149 -4.515340087221428
0.57 -4.077067170492303 -3.7336562181949438 -4.420478122789664
0.58 -3.9754514335829794 -3.6232645366204563 -4.327638330545502
0.59 -3.8759140868307345 -3.5150766024039974 -4.2367515712574715
0.6 -3.778385263362482 -3.4090183346823295 -4.147752192042635
0.61 -3.6827985611018437 -3.3050193263666348 -4.060577795837052
0.62 -3.5890908173908436 -3.203012605170616 -3.975169029611071
0.63 -3.4972019016442717 -3.1029344137588932 -3.891469389529651
0.64 -3.407074524332584 -3.004724007208793 -3.8094250414563744
0.65 -3.318654060774179 -2.908323466174736 -3.7289846553736226
0.66 -3.2318883883802885 -2.8136775243166143 -3.650099252443963
0.67 -3.146727736138516 -2.720733408705006 -3.572722063572027
0.68 -3.0631245452470304 -2.629440692049572 -3.4968083984444895
0.69 -2.9810333399225613 -2.539751155714896 -3.4223155241302257
0.7 -2.900410607503783 -2.4516186625923586 -3.349202552415208
0.71 -2.8212146870589034 -2.3649990389891307 -3.2774303351286767
0.72 -2.743405665783704 -2.279849964777519 -3.206961366789889
0.73 -2.66694528254526 -2.1961308711209595 -3.137759693969561
0.74 -2.591796837987939 -2.1138028451581015 -3.0697908308177775
0.75 -2.5179251106731124 -2.032828541084519 -3.0030216802617056
0.76 -2.4452962787730357 -1.9531720971235964 -2.937420460422474
0.77 -2.373877846883227 -1.8747990579246248 -2.8729566358418293
0.78 -2.303638577557038 -1.7976763019679065 -2.8096008531461703
0.79 -2.2345484272014398 -1.7217719735941288 -2.7473248808087503
0.8 -2.166578486004851 -1.6470554193089642 -2.6861015527007384
0.81 -2.09970092159646 -1.5734971280442247 -2.6259047151486956
0.82 -2.033888926162291 -1.5010686750842615 -2.566709177240321
0.83 -1.969116666766603 -1.4297426693910176 -2.5084906641421885
0.84 -1.905359238648279 -1.3594927040835103 -2.451225773213048
0.85 -1.8425926212809358 -1.2902933098477252 -2.3948919327141467
0.86 -1.7807936370028037 -1.2221199110712746 -2.339467362934333
0.87 -1.7199399120381051 -1.1549487845137978 -2.2849310395624123
0.88 -1.6600098397459324 -1.0887570203392123 -2.2312626591526525
0.89 -1.6009825459455995 -1.023522485349676 -2.1784426065415228
0.9 -1.5428378561792453 -0.9592237882736523 -2.1264519240848383
0.91 -1.4855562647832503 -0.8958402469718794 -2.0752722825946215
0.92 -1.4291189056498412 -0.833351857435475 -2.024885953864207
0.93 -1.373507524569244 -0.7717392644599205 -1.9752757846785678
0.94 -1.318704453050957 -0.7109837338873712 -1.926425172214543
0.95 -1.2646925835302145 -0.6510671263177121 -1.8783180407427162
0.96 -1.2114553458726214 -0.5919718721960792 -1.830938819549164
0.97 -1.1589766850962293 -0.5336809481912499 -1.784272422001209
0.98 -1.1072410402361283 -0.47617785478546426 -1.7383042256867922
0.99 -1.0562333242819633 -0.41944659500188175 -1.6930200535620454
